expense_id,employee,department,expense_date,amount_usd,currency,category,merchant,invoice_no,invoice_city,trip_to_city,approver,paid_amount_usd
EJ5IR1ENV,Delia,R&D,2024-01-07,54.74,USD,Meal,Metro Coffee,INV-464273,San Francisco,San Francisco,Mgr_Erin,54.74
ES4D30TDI,Victor,Marketing,2024-01-08,607.69,USD,Air,Metro Coffee,INV-940163,Seattle,Seattle,Mgr_Duke,607.69
ELCXTMG1B,Ethan,R&D,2024-01-08,143.95,USD,Client Gift,Sky Airlines,INV-321685,Boston,Boston,Mgr_Duke,143.95
EKPC2PI99,Faith,Marketing,2024-01-08,224.14,USD,Air,Happy Noodles,INV-812091,Boston,Boston,Mgr_Duke,224.14
ED98GVN3W,Quinn,Finance,2024-01-08,22.09,USD,Meal,Sky Airlines,INV-727501,San Francisco,San Francisco,Mgr_Erin,22.09
E1E0QSE5F,Bella,Sales,2024-01-08,66.6,USD,Meal,Green Hotel,INV-867498,Miami,Miami,Mgr_Amy,66.6
ENUOF956L,Ursula,R&D,2024-01-08,82.2,USD,Office,Metro Coffee,INV-867739,New York,New York,Mgr_Ben,82.2
E18KNJZAQ,Kirk,Marketing,2024-01-09,343.63,USD,Office,Tech Supplies,INV-157722,Chicago,Chicago,Mgr_Ben,343.63
ESAMMXXDK,Miles,R&D,2024-01-09,344.39,USD,Office,Happy Noodles,INV-456845,Miami,Miami,Mgr_Amy,344.39
E7WJA00Q7,Sophie,R&D,2024-01-09,254.64,USD,Client Gift,Happy Noodles,INV-864935,Seattle,Seattle,Mgr_Amy,254.64
EQYTT1VOA,Grace,R&D,2024-01-09,354.1,USD,Office,Sky Airlines,INV-592979,Los Angeles,Los Angeles,Mgr_Duke,354.1
EGQSBRAFI,Owen,Sales,2024-01-09,242.57,USD,Hotel,Sky Airlines,INV-535322,Seattle,Seattle,Mgr_Duke,242.57
EF5W200W4,Jack,Sales,2024-01-09,22.46,USD,Transport,City Taxi,INV-495374,Seattle,Seattle,Mgr_Carl,22.46
EOSKUJDJL,Miles,R&D,2024-01-09,181.75,USD,Office,Sky Airlines,INV-337790,Seattle,Seattle,Mgr_Ben,181.75
EYJN2PNKU,Victor,R&D,2024-01-10,245.15,USD,Office,Tech Supplies,INV-548140,Chicago,Chicago,Mgr_Amy,245.15
ERS8BTWVC,Ethan,Sales,2024-01-10,15.73,USD,Transport,Green Hotel,INV-520908,Miami,Miami,Mgr_Carl,15.73
EJGLTZ469,Edgar,HR,2024-01-10,204.22,USD,Client Gift,City Taxi,INV-686905,Dallas,Dallas,Mgr_Ben,204.22
ETF7AN0XP,Irene,Sales,2024-01-10,615.56,USD,Air,Green Hotel,INV-693333,Miami,Miami,Mgr_Carl,615.56
EIU90QHD2,Gavin,Marketing,2024-01-10,285.42,USD,Hotel,Tech Supplies,INV-861614,Atlanta,Atlanta,Mgr_Carl,285.42
E3DG8IXOM,Henry,Sales,2024-01-10,54.31,USD,Meal,City Taxi,INV-595909,Miami,Miami,Mgr_Erin,54.31
E9IQIFMSU,Carter,Marketing,2024-01-10,156.43,USD,Hotel,Happy Noodles,INV-464745,Seattle,Seattle,Mgr_Amy,156.43
E4R5F8LZM,Edgar,Sales,2024-01-11,124.5,USD,Client Gift,Tech Supplies,INV-439983,New York,New York,Mgr_Ben,74.5
EBPAACE51,Kevin,R&D,2024-01-11,53.94,USD,Transport,Tech Supplies,INV-697624,Seattle,Seattle,Mgr_Erin,53.94
EZB8ZWW77,Peter,R&D,2024-01-11,133.79,USD,Meal,Happy Noodles,INV-DD-72703,Dallas,Boston,Mgr_Carl,133.79
ERB04EVL9,Gavin,HR,2024-01-11,36.4,USD,Meal,Tech Supplies,INV-232765,Boston,Boston,Mgr_Amy,36.4
ENZ8RL5MP,Kirk,R&D,2024-01-11,138.33,USD,Office,Sky Airlines,INV-429777,Seattle,Los Angeles,Mgr_Carl,138.33
EBQQF73YO,Peter,R&D,2024-01-11,116.66,USD,Office,Tech Supplies,INV-481849,Houston,Houston,Mgr_Carl,116.66
EIBZ3J5UL,Peter,R&D,2024-01-11,133.79,USD,Meal,Happy Noodles,INV-DD-58333,Dallas,Boston,Mgr_Carl,133.79
EJNXMYLJP,Nina,R&D,2024-01-11,159.22,USD,Hotel,Green Hotel,INV-672232,Boston,Boston,Mgr_Carl,159.22
E3KPYUGH8,Ethan,R&D,2024-01-11,238.34,USD,Office,Metro Coffee,INV-241881,Seattle,Seattle,Mgr_Duke,238.34
E0TT6TWXH,Fiona,HR,2024-01-11,221.59,USD,Office,Sky Airlines,INV-132154,Los Angeles,Los Angeles,Mgr_Amy,221.59
EQD4PI1U9,Ivan,R&D,2024-01-11,328.5,USD,Hotel,City Taxi,INV-244801,Los Angeles,Los Angeles,Mgr_Amy,328.5
ELF0ZJ80Z,Kevin,Marketing,2024-01-12,33.04,USD,Meal,Happy Noodles,INV-634669,Houston,Atlanta,Mgr_Duke,33.04
E4S01DB8J,Kevin,Sales,2024-01-12,52.2,USD,Meal,Metro Coffee,INV-191271,Dallas,Dallas,Mgr_Erin,52.2
E93IH03Q7,Hazel,Sales,2024-01-12,554.93,USD,Air,City Taxi,INV-425545,Miami,Miami,Mgr_Ben,554.93
EKOCQSFLU,Mason,R&D,2024-01-12,218.29,USD,Office,Metro Coffee,INV-865845,Miami,Miami,Mgr_Duke,218.29
EJ8909551,Alice,Sales,2024-01-12,142.02,USD,Hotel,Sky Airlines,INV-323579,Dallas,Dallas,Mgr_Ben,142.02
EQPFFVABX,Alice,Sales,2024-01-12,166.23,USD,Hotel,City Taxi,INV-498915,Atlanta,Atlanta,Mgr_Duke,166.23
EXFPGUT6W,Faith,R&D,2024-01-13,346.2,USD,Office,Green Hotel,INV-406538,New York,New York,Mgr_Erin,346.2
E4D3OVB95,Charlie,Sales,2024-01-13,234.35,USD,Hotel,City Taxi,INV-154341,Seattle,Seattle,Mgr_Ben,234.35
E0EUL1IMA,Kirk,Finance,2024-01-13,34.65,USD,Transport,Happy Noodles,INV-206066,Boston,Boston,Mgr_Duke,34.65
EXQICA1MS,Delia,Marketing,2024-01-13,238.05,USD,Hotel,Metro Coffee,INV-521734,Dallas,Dallas,Mgr_Amy,238.05
EVEVO5BEG,Wendy,R&D,2024-01-13,62.43,USD,Office,Metro Coffee,INV-115077,Seattle,Seattle,Mgr_Amy,112.43
EUAQ5K7SA,Victor,Sales,2024-01-13,12.4,USD,Transport,Metro Coffee,INV-670916,Los Angeles,Los Angeles,Mgr_Amy,12.4
E3JMYSTLO,Jade,Finance,2024-01-13,59.32,USD,Office,Metro Coffee,INV-171220,Houston,Houston,Mgr_Ben,59.32
EGQD2QUO9,Will,Finance,2024-01-13,55.44,USD,Office,Happy Noodles,INV-300408,Seattle,Seattle,Mgr_Ben,55.44
ECQ0G7EIB,Tyler,Sales,2024-01-13,169.17,USD,Hotel,Happy Noodles,INV-DUP-60753,Dallas,Dallas,Mgr_Amy,169.17
EJ6J3U04P,Ivan,Sales,2024-01-13,60.31,USD,Meal,Tech Supplies,INV-447027,Los Angeles,Los Angeles,Mgr_Duke,60.31
EZVLQ6BBG,Paula,R&D,2024-01-13,43.42,USD,Transport,Tech Supplies,INV-622165,Miami,Miami,Mgr_Erin,43.42
EKU21N6SK,Alice,Sales,2024-01-13,487.04,USD,Air,Happy Noodles,INV-390156,Atlanta,Seattle,Mgr_Amy,487.04
E41PR1JVS,Uma,Marketing,2024-01-13,47.05,USD,Transport,Metro Coffee,INV-426029,Chicago,Houston,Mgr_Carl,47.05
EX7ACY13H,Quinn,R&D,2024-01-14,215.85,USD,Hotel,Happy Noodles,INV-688134,New York,San Francisco,Mgr_Ben,215.85
EZC3LEVY9,Alice,Sales,2024-01-14,154.26,USD,Client Gift,Tech Supplies,INV-639049,Seattle,Seattle,Mgr_Duke,154.26
EF9H73PII,Zack,Finance,2024-01-14,182.1,USD,Office,Tech Supplies,INV-423886,Seattle,Seattle,Mgr_Amy,182.1
ER1WEXC1T,Wendy,Marketing,2024-01-14,270.11,USD,Office,Tech Supplies,INV-727121,Miami,Miami,Mgr_Duke,270.11
E4QEQ49PK,Zoe,Sales,2024-01-15,224.27,USD,Hotel,Sky Airlines,INV-230840,Houston,Houston,Mgr_Carl,224.27
E438VOUBE,Hazel,HR,2024-01-15,292.91,USD,Hotel,Sky Airlines,INV-606039,Miami,Miami,Mgr_Ben,292.91
EDJT2ZBNT,Lena,Sales,2024-01-16,89.7,USD,Office,Sky Airlines,INV-772268,Boston,Boston,Mgr_Ben,89.7
ES76SA21M,Jade,R&D,2024-01-16,19.17,USD,Transport,Tech Supplies,INV-346842,Chicago,Chicago,Mgr_Erin,19.17
EECZIZNII,Henry,R&D,2024-01-16,356.83,USD,Office,City Taxi,INV-780364,Dallas,Dallas,Mgr_Ben,356.83
E8U0QX0I2,Nina,Sales,2024-01-16,543.67,USD,Air,City Taxi,INV-585829,Los Angeles,Dallas,Mgr_Erin,643.67
EB8FGUCOH,Diana,Sales,2024-01-16,263.93,USD,Air,City Taxi,INV-896743,Houston,Houston,Mgr_Ben,263.93
ESSOUW0IT,Uma,Marketing,2024-01-17,14.27,USD,Meal,Happy Noodles,INV-697784,Seattle,Seattle,Mgr_Carl,14.27
E0TITH5J5,Tyler,R&D,2024-01-17,69.11,USD,Meal,Happy Noodles,INV-503380,Dallas,Dallas,Mgr_Ben,69.11
EMICAD68V,Peter,R&D,2024-01-17,61.93,USD,Meal,Happy Noodles,INV-440421,Houston,Miami,Mgr_Ben,61.93
E6V8WWW8Z,Lena,HR,2024-01-17,74.67,USD,Office,Metro Coffee,INV-716573,Miami,Miami,Mgr_Carl,74.67
ESYHL28ZP,Vince,Marketing,2024-01-17,61.21,USD,Meal,Metro Coffee,INV-355385,Seattle,Seattle,Mgr_Carl,61.21
ECHZ41FRM,Ivan,Finance,2024-01-17,150.23,USD,Office,Tech Supplies,INV-422291,Dallas,Dallas,Mgr_Carl,150.23
ED5NRB5XV,Tina,R&D,2024-01-17,38.11,USD,Meal,City Taxi,INV-917023,Los Angeles,Los Angeles,Mgr_Duke,38.11
EECDRWA90,Grace,HR,2024-01-17,285.13,USD,Hotel,Tech Supplies,INV-419363,Chicago,Chicago,Mgr_Ben,285.13
EI14HK944,Diana,R&D,2024-01-17,29.49,USD,Transport,Green Hotel,INV-278204,Houston,Houston,Mgr_Duke,29.49
EJSWEO1DO,Olivia,Marketing,2024-01-18,172.78,USD,Office,Green Hotel,INV-612278,Miami,Miami,Mgr_Carl,172.78
ELDSDF6G6,Carter,R&D,2024-01-18,317.7,USD,Office,Happy Noodles,INV-DUP-54615,Los Angeles,Los Angeles,Mgr_Amy,317.7
EEMB4LBG4,Uma,Sales,2024-01-18,181.78,USD,Hotel,City Taxi,INV-999930,Dallas,Dallas,Mgr_Erin,181.78
EP8ZGVXGZ,Henry,Sales,2024-01-18,145.46,USD,Office,Metro Coffee,INV-989201,Dallas,Dallas,Mgr_Ben,245.46
EB28MJMN2,Gavin,Finance,2024-01-18,244.08,USD,Hotel,Green Hotel,INV-973800,Dallas,Dallas,Mgr_Carl,244.08
E6FKROQHN,Kirk,Sales,2024-01-18,246.6,USD,Hotel,Happy Noodles,INV-745153,Miami,Miami,Mgr_Erin,246.6
EEM2FUH9N,Carter,R&D,2024-01-18,320.02,USD,Hotel,Metro Coffee,INV-886911,New York,New York,Mgr_Erin,320.02
ECPDEJXA4,Carter,R&D,2024-01-18,75.4,USD,Office,City Taxi,INV-309771,Miami,Miami,Mgr_Carl,75.4
EY75UBMJW,Zoe,Sales,2024-01-18,171.41,USD,Client Gift,Metro Coffee,INV-839670,Chicago,Chicago,Mgr_Erin,171.41
E6KNY6QD8,Ursula,Marketing,2024-01-19,217.06,USD,Hotel,Green Hotel,INV-615400,New York,New York,Mgr_Duke,217.06
E87V38I0P,Owen,Marketing,2024-01-19,238.98,USD,Office,City Taxi,INV-108783,Dallas,Dallas,Mgr_Amy,238.98
EJI9MRIAS,Yvonne,Finance,2024-01-19,35.84,USD,Meal,City Taxi,INV-179886,Houston,Houston,Mgr_Duke,35.84
EQMPMRXPT,Zoe,Sales,2024-01-19,16.81,USD,Meal,Sky Airlines,INV-746691,Miami,Miami,Mgr_Ben,16.81
EV6X25HCT,Bob,Sales,2024-01-19,274.1,USD,Office,Tech Supplies,INV-141906,Dallas,Dallas,Mgr_Amy,274.1
E50SBUVVS,Paula,R&D,2024-01-19,51.52,USD,Meal,Green Hotel,INV-904892,New York,Dallas,Mgr_Duke,51.52
E0IL1F8QA,Bob,Marketing,2024-01-19,264.7,USD,Office,Happy Noodles,INV-483863,Miami,Miami,Mgr_Erin,264.7
EOZ1V33CD,Rose,HR,2024-01-19,327.18,USD,Hotel,Sky Airlines,INV-379987,Los Angeles,Los Angeles,Mgr_Amy,327.18
E85FCCB1K,Bob,HR,2024-01-19,21.31,USD,Meal,Green Hotel,INV-789024,Los Angeles,Los Angeles,Mgr_Erin,21.31
E8OYGBQSJ,Edgar,Sales,2024-01-19,502.49,USD,Air,Happy Noodles,INV-158977,Atlanta,Atlanta,Mgr_Duke,502.49
EDMZPEFB3,Fiona,Sales,2024-01-19,29.93,USD,Meal,Metro Coffee,INV-562397,San Francisco,San Francisco,Mgr_Erin,29.93
EJT54962R,Bella,R&D,2024-01-20,40.72,USD,Transport,Green Hotel,INV-142931,San Francisco,San Francisco,Mgr_Amy,40.72
EG7B8XIFZ,Yvonne,R&D,2024-01-20,13.63,USD,Transport,Green Hotel,INV-738798,Chicago,Chicago,Mgr_Carl,13.63
EIFKYOKGZ,Jade,HR,2024-01-20,286.83,USD,Hotel,Metro Coffee,INV-288012,New York,New York,Mgr_Erin,286.83
EVYFFIEHF,Edgar,R&D,2024-01-20,118.07,USD,Office,Sky Airlines,INV-342155,Boston,Boston,Mgr_Erin,118.07
EQKFMXW8M,Xavier,HR,2024-01-20,534.14,USD,Air,Green Hotel,INV-138000,New York,New York,Mgr_Erin,534.14
EP45896I5,Will,R&D,2024-01-20,303.17,USD,Office,Metro Coffee,INV-929325,Dallas,Dallas,Mgr_Ben,303.17
EWHTW3G0Y,Rose,Sales,2024-01-20,229.66,USD,Hotel,Happy Noodles,INV-805641,New York,New York,Mgr_Amy,229.66
EGY38PT78,Lena,Marketing,2024-01-20,311.63,USD,Hotel,Green Hotel,INV-979416,Houston,Houston,Mgr_Ben,311.63
ERZC2ZJBJ,Edgar,Sales,2024-01-20,158.96,USD,Hotel,City Taxi,INV-645977,Chicago,Chicago,Mgr_Amy,158.96
EYG5LOSVB,Paula,R&D,2024-01-21,274.04,USD,Office,Tech Supplies,INV-429419,Miami,Miami,Mgr_Erin,274.04
EQUZV8L4D,Carter,Sales,2024-01-21,44.57,USD,Meal,Metro Coffee,INV-855681,Dallas,Dallas,Mgr_Erin,44.57
EXPIY9P93,Carter,Sales,2024-01-21,46.58,USD,Meal,Tech Supplies,INV-551910,Boston,Boston,Mgr_Duke,46.58
ECWTI1FWX,Tyler,Sales,2024-01-21,245.4,USD,Hotel,Metro Coffee,INV-421916,Houston,Houston,Mgr_Duke,245.4
EMFV2Z3ZX,Sam,Finance,2024-01-21,65.31,USD,Meal,Happy Noodles,INV-817595,Chicago,Chicago,Mgr_Ben,65.31
E96AE54WP,Lena,Finance,2024-01-21,37.82,USD,Transport,Tech Supplies,INV-299960,Dallas,Dallas,Mgr_Erin,37.82
E4W4W0C1B,Jack,Sales,2024-01-21,49.7,USD,Meal,Happy Noodles,INV-815796,Boston,Boston,Mgr_Amy,49.7
E6RHOCNGD,Yvonne,R&D,2024-01-21,256.7,USD,Office,Tech Supplies,INV-669169,Houston,Houston,Mgr_Ben,256.7
EOR73YK7I,Peter,Sales,2024-01-21,302.82,USD,Hotel,Sky Airlines,INV-519878,Boston,Boston,Mgr_Erin,302.82
EPD7QNNAR,Faith,Sales,2024-01-21,11.98,USD,Transport,Happy Noodles,INV-255792,New York,New York,Mgr_Ben,11.98
EIC9J27EV,Ivan,HR,2024-01-22,39.1,USD,Office,Green Hotel,INV-589150,Boston,Boston,Mgr_Carl,39.1
E2OPMPSMY,Gavin,Sales,2024-01-22,22.27,USD,Transport,Green Hotel,INV-693336,Boston,Boston,Mgr_Duke,22.27
E0HBX6TPB,Carter,Sales,2024-01-22,17.08,USD,Transport,Happy Noodles,INV-549879,Seattle,Seattle,Mgr_Ben,17.08
EOEXPR53E,Kirk,Sales,2024-01-22,47.36,USD,Meal,City Taxi,INV-633085,Houston,Houston,Mgr_Carl,47.36
E1H3E9UZO,Carter,R&D,2024-01-23,294.69,USD,Office,Metro Coffee,INV-907670,Los Angeles,Los Angeles,Mgr_Ben,294.69
EPMALIYOB,Rose,Finance,2024-01-23,41.75,USD,Meal,Sky Airlines,INV-933194,Dallas,Dallas,Mgr_Duke,41.75
EPPW8W9GK,Owen,R&D,2024-01-23,54.33,USD,Meal,Happy Noodles,INV-845902,Atlanta,Atlanta,Mgr_Duke,54.33
EESK56GO7,Nina,Sales,2024-01-23,375.94,USD,Air,City Taxi,INV-146563,Seattle,Seattle,Mgr_Carl,375.94
EO4KBWEY0,Fiona,R&D,2024-01-23,38.18,USD,Transport,City Taxi,INV-577450,Miami,Houston,Mgr_Amy,38.18
EBYAH34XK,Diana,R&D,2024-01-23,308.57,USD,Hotel,City Taxi,INV-510085,San Francisco,San Francisco,Mgr_Amy,108.57
EBSCUZNME,Miles,R&D,2024-01-23,306.58,USD,Office,Metro Coffee,INV-578490,Chicago,Chicago,Mgr_Duke,306.58
EZI42NBQA,Uma,R&D,2024-01-24,202.91,USD,Hotel,City Taxi,INV-140550,Miami,Miami,Mgr_Duke,202.91
ERWJ3F7MJ,Grace,HR,2024-01-24,26.11,USD,Meal,Sky Airlines,INV-679040,Chicago,Chicago,Mgr_Ben,0.0
E1SA80DG7,Carter,Sales,2024-01-24,25.25,USD,Meal,Metro Coffee,INV-188784,New York,New York,Mgr_Duke,25.25
E32BCBQGL,Jack,Finance,2024-01-24,237.05,USD,Hotel,Sky Airlines,INV-134695,Dallas,Dallas,Mgr_Duke,237.05
EDMZLG9S2,Bob,Marketing,2024-01-24,27.69,USD,Transport,Tech Supplies,INV-687385,Houston,Houston,Mgr_Ben,27.69
EMX446UAB,Victor,Sales,2024-01-24,109.11,USD,Meal,Happy Noodles,INV-DD-60655,San Francisco,Houston,Mgr_Amy,109.11
EBR98B9HA,Zoe,Sales,2024-01-24,225.66,USD,Office,Metro Coffee,INV-865133,Miami,Miami,Mgr_Erin,225.66
ELO6URTEV,Victor,Sales,2024-01-24,109.11,USD,Meal,Happy Noodles,INV-DD-37543,San Francisco,Houston,Mgr_Ben,109.11
EWXFBXSNM,Bella,Marketing,2024-01-25,15.14,USD,Meal,Tech Supplies,INV-903856,Seattle,Seattle,Mgr_Duke,15.14
E69P0EEHU,Miles,HR,2024-01-25,30.93,USD,Meal,City Taxi,INV-837002,Atlanta,Atlanta,Mgr_Duke,30.93
EM1YMZJ9F,Ivan,HR,2024-01-25,49.76,USD,Transport,Metro Coffee,INV-984561,Miami,Miami,Mgr_Duke,49.76
EZA16F55P,Nina,R&D,2024-01-25,97.63,USD,Office,Sky Airlines,INV-514891,San Francisco,San Francisco,Mgr_Ben,97.63
EI4W2CMOZ,Yvonne,R&D,2024-01-25,220.79,USD,Office,Happy Noodles,INV-858651,Atlanta,Atlanta,Mgr_Carl,220.79
EVHIHMWP5,Uma,Sales,2024-01-25,39.76,USD,Meal,Happy Noodles,INV-915419,Dallas,Dallas,Mgr_Amy,139.76
E9C5CXGSJ,Wendy,Sales,2024-01-25,40.0,USD,Transport,Green Hotel,INV-645207,New York,New York,Mgr_Erin,40.0
E589BGSEE,Queen,Sales,2024-01-25,197.25,USD,Air,Tech Supplies,INV-247666,Dallas,Dallas,Mgr_Amy,197.25
E4IAWA2ZT,Olivia,Sales,2024-01-26,19.56,USD,Meal,Sky Airlines,INV-620624,New York,New York,Mgr_Amy,19.56
